,tiempo,longitud,g_calculado,g_error
0,0.46,1.0,9.45179584120983,0.42167714144276636
1,0.461,1.004,9.448478032759114,0.42057633968527847
2,0.462,1.008,9.445100354191263,0.41947804072927386
3,0.462,1.012,9.482580911152338,0.421059733953675
4,0.463,1.016,9.47898250213417,0.41995386843830645
5,0.464,1.02,9.475326991676575,0.418850624883516
6,0.465,1.024,9.471615215631864,0.41775001868156253
7,0.466,1.028,9.467847998673763,0.4166520646683499
8,0.466,1.032,9.504687874154985,0.41819420956452746
9,0.467,1.036,9.500708426376386,0.4170891655320749
10,0.468,1.04,9.49667616334283,0.4159868832233504
11,0.469,1.044,9.492591868558518,0.41488737503750783
12,0.47,1.048,9.488456315074696,0.41379065287346
13,0.47,1.052,9.524671797193301,0.41529453212072404
14,0.471,1.056,9.520332129768619,0.41419116820772983
15,0.472,1.06,9.515943694340708,0.4130906909102998
16,0.473,1.064,9.511507225259132,0.41199310989095866
17,0.474,1.068,9.507023447097154,0.4108984343634502
18,0.474,1.072,9.542630276487031,0.4123652810446811
19,0.475,1.076,9.537950138504156,0.41126438550559524
20,0.476,1.08,9.533225054727776,0.41016648774575615
21,0.477,1.084,9.528455713337642,0.40907159492759837
22,0.478,1.088,9.523642793368465,0.4079797138119513
23,0.478,1.092,9.558656185991143,0.409410713505161
24,0.479,1.096,9.553654316360198,0.40831300920943103
25,0.48,1.1,9.548611111111112,0.4072184011874298
26,0.481,1.104,9.543527215044888,0.40612689431961857
27,0.482,1.108,9.538403264406606,0.4050384931280854
28,0.482,1.112,9.57283793323118,0.4064347859180506
29,0.483,1.116,9.567532116816482,0.4053409349959456
30,0.484,1.12,9.56218837511099,0.4042502671537175
31,0.485,1.124,9.556807312147944,0.4031627851909524
32,0.486,1.129,9.559857067858898,0.4024191421860167
33,0.487,1.133,9.554368403965105,0.4013359671695875
34,0.487,1.137,9.588099625161805,0.4026904133894633
35,0.488,1.141,9.58243751679656,0.4016022247388608
36,0.489,1.145,9.576741482345758,0.4005173126166623
37,0.49,1.149,9.57101207830071,0.39943567748032743
38,0.491,1.153,9.565249853783584,0.3983573195133926
39,0.491,1.157,9.59843372144632,0.3996794675659994
40,0.492,1.161,9.592504461629982,0.39859642188528305
41,0.493,1.165,9.58654427707993,0.39751671646031045
42,0.494,1.169,9.580553688800013,0.39644035006450273
43,0.495,1.173,9.574533210896847,0.3953673212298298
44,0.495,1.177,9.607182940516275,0.3966581762845007
45,0.496,1.181,9.60100156087409,0.3955807665898078
46,0.497,1.185,9.594792092595817,0.3945067519046961
47,0.498,1.189,9.588555023306077,0.39343612947284035
48,0.499,1.193,9.582290834173357,0.3923688963261732
49,0.499,1.197,9.614419219199924,0.3936294257344891
50,0.5,1.201,9.608,0.3925581006679139
51,0.501,1.205,9.601555372289354,0.39149021709927107
52,0.502,1.209,9.595085792289012,0.3904257708846625
53,0.503,1.213,9.588591710176319,0.3893647576956176
